variable,label,ylabel,ptitle,name_trunc,reverse_coded
QS2AREA,QS2AREA: Perceived change in crime rate in local area in last two years,% Same or Less Crime,,Perceived same or less crime in local area in last two years,0
QS2AREAS,QS2AREAS: Perceived change in crime rate in Scotland in last two years,% Same or Less Crime,,Perceived same or less crime in Scotland in last two years,0
QSFDARK,QSFDARK: How safe respondent feels walking alone in local area after dark,% Safe,,Feels safe walking alone in local area after dark,0
QSFNIGH,QSFNIGH: How safe respondent feels alone in home at night,% Safe,,Feels safe alone in home at night,0
QWORR_01,QWORR_01: Extent of worry that: your car or other vehicle will be stolen?,% Worried, Extent of worry that:,Worried that car or other vehicle will be stolen,1
QWORR_02,QWORR_02: Extent of worry that: things will be stolen from your car or other vehicle?,% Worried, Extent of worry that:,Worried that things will be stolen from your car or other vehicle,1
QWORR_03,QWORR_03: Extent of worry that: your car or other vehicle will be damaged by vandals?,% Worried, Extent of worry that:,Worried that your car or other vehicle will be damaged by vandals,1
QWORR_04,QWORR_04: Extent of worry that: your home will be damaged by vandals?,% Worried, Extent of worry that:,Worried that your home will be damaged by vandals,1
QWORR_05,QWORR_05: Extent of worry that: your home will be broken into?,% Worried, Extent of worry that:,Worried that your home will be broken into,1
QWORR_06,QWORR_06: Extent of worry that: you will be mugged or robbed?,% Worried, Extent of worry that:,Worried that you will be mugged or robbed,1
QWORR_07,QWORR_07: Extent of worry that: you will be physically assaulted or attacked in the street or other public place?,% Worried, Extent of worry that:,Worried that you will be physically assaulted or attacked in the street or other public place,1
QWORR_08,QWORR_08: Extent of worry that: you will be involved or caught up in violence between groups of individuals or gangs?,% Worried, Extent of worry that:,Worried that you will be involved or caught up in violence between groups of individuals or gangs,1
QWORR_09,QWORR_09: Extent of worry that: you will be sexually assaulted?,% Worried, Extent of worry that:,Worried that you will be sexually assaulted,1
QWORR_10,QWORR_10: Extent of worry that: you will have your identity stolen?,% Worried, Extent of worry that:,Worried that you will have your identity stolen,1
QWORR_11,"QWORR_11: Extent of worry that: someone will use your credit or bank details to obtain money, goods or services?",% Worried, Extent of worry that:,"Worried that someone will use your credit or bank details to obtain money, goods or services",1
QWORR_12,QWORR_12: Extent of worry that: Your car or other vehicle will be stolen,% Worried, Extent of worry that:,Worried that your car or other vehicle will be stolen,1
QWORR_13,QWORR_13: Extent of worry that: Things will be stolen from your car or other vehicle,% Worried, Extent of worry that:,Worried that things will be stolen from your car or other vehicle,1
QWORR_14,QWORR_14: Extent of worry that: Your car or other vehicle will be damaged by vandals ,% Worried, Extent of worry that:,Worried that your car or other vehicle will be damaged by vandals,1
QDCONF_01,QDCONF_01: Confidence that the Scottish CJS: Is effective in bringing people who commit crimes to justice,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System is effective in bringing people who commit crimes to justice,0
QDCONF_02,QDCONF_02: Confidence that the Scottish CJS: Deals with cases promptly and efficiently,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System deals with cases promptly and efficiently,0
QDCONF_03,QDCONF_03: Confidence that the Scottish CJS: Makes sure everyone has access to the justice system if they need it,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System makes sure everyone has access to the justice system if they need it,0
QDCONF_04,QDCONF_04: Confidence that the Scottish CJS: Makes sure the system isn't different depending on where you live in Scotland,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System makes sure the system isn't different depending on where you live in Scotland,0
QDCONF_05,QDCONF_05: Confidence that the Scottish CJS: Provides a good standard of service for victims of crime?,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System provides a good standard of service for victims of crime,0
QDCONF_06,QDCONF_06: Confidence that the Scottish CJS: Provides a good standard of service for witnesses?,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System provides a good standard of service for witnesses,0
QDCONF_07,"QDCONF_07: Confidence that the Scottish CJS: Makes fair, impartial decisions based on the evidence available",% Confident,Confidence that the Scottish CJS:,"Confident that Scottish Criminal Justice System makes fair, impartial decisions based on the evidence available",0
QDCONF_08,QDCONF_08: Confidence that the Scottish CJS: Gives punishments which fit the crime,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System gives punishments which fit the crime,0
QDCONF_09,QDCONF_09: Confidence that the Scottish CJS: Adequately takes into account the circumstances surrounding a crime when it hands out sentences,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System adequately takes into account the circumstances surrounding a crime when it hands out sentences,0
QDCONF_10,QDCONF_10: Confidence that the Scottish CJS: Allows all victims of crime to seek justice regardless of who they are,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System allows all victims of crime to seek justice regardless of who they are,0
QDCONF_11,QDCONF_11: Confidence that the Scottish CJS: Allows all those accused of crimes to get a fair trial regardless of who they are ,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System allows all those accused of crimes to get a fair trial regardless of who they are ,0
QDCONF_12,QDCONF_12: Confidence that the Scottish CJS: Provides victims of crime with the services and support they need,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System provides victims of crime with the services and support they need,0
QDCONF_13,QDCONF_13: Confidence that the Scottish CJS: Provides witnesses with the services and support they need,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System provides witnesses with the services and support they need,0
QDCONF_14,QDCONF_14: Confidence that the Scottish CJS: Treats those accused of crime as innocent until proven guilty,% Confident,Confidence that the Scottish CJS:,Confident that Scottish Criminal Justice System treats those accused of crime as innocent until proven guilty,0
QPOLCONF_01,QPOLCONF_01: Confidence in ability of police in local area to: Prevent crime,% Confident,Confidence in ability of police in local area to:,Confident that police in local area are able to prevent crime,0
QPOLCONF_02,QPOLCONF_02: Confidence in ability of police in local area to: Respond quickly to appropriate calls and information from the public,% Confident,Confidence in ability of police in local area to:,Confident that police in local area are able to respond quickly to appropriate calls and information from the public,0
QPOLCONF_03,QPOLCONF_03: Confidence in ability of police in local area to: Deal with incidents as they occur,% Confident,Confidence in ability of police in local area to:,Confident that police in local area are able to deal with incidents as they occur,0
QPOLCONF_04,QPOLCONF_04: Confidence in ability of police in local area to: Investigate incidents after they occur,% Confident,Confidence in ability of police in local area to:,Confident that police in local area are able to investigate incidents after they occur,0
QPOLCONF_05,QPOLCONF_05: Confidence in ability of police in local area to: Solve crimes,% Confident,Confidence in ability of police in local area to:,Confident that police in local area are able to solve crimes,0
QPOLCONF_06,QPOLCONF_06: Confidence in ability of police in local area to: Catch criminals,% Confident,Confidence in ability of police in local area to:,Confident that police in local area are able to catch criminals,0
QRATPOL,"QRATPOL: Taking everything into account, how good a job do you think the police IN THIS AREA are doing?",% Excellent or Good,,"Taking everything into account, the police in this area are doing an excellent/good job",0
COMPOL,COMPOL: How important to you is it that there are local police officers who know and patrol in your local area?,% Important,,It is important to you that there are local police officers who know and patrol in your local area,0
COMPOL2,COMPOL2: How important to you is it that there are local police officers who know and patrol in your local area?,% Important,,It is important to you that there are local police officers who know and patrol in your local area,0
POLPRES,POLPRES: Police presence in local area is:,% Not Enough,,There is not enough police presence in local area,1
POLOPREL,POLOPREL: Agreement that: Police in this area can be relied on to be there when you need them,% Agreement,Agreement that:,Agree that police in this area can be relied on to be there when you need them,0
POLOPRESP,POLOPRESP: Agreement that: Police in this area would treat you with respect if you had contact with them for any reason,% Agreement,Agreement that:,Agree that police in this area would treat you with respect if you had contact with them for any reason,0
POLOPFAIR,POLOPFAIR: Agreement that: The police in this area treat everyone fairly regardless of who they are,% Agreement,Agreement that:,Agree that police in this area treat everyone fairly regardless of who they are,0
